GroupName,ReferenceDate,FlowBreakdown,UnitMeasure,ObservedValue,GeneralizedSource,RunDate
Africa,2015-09-01,CLOSTLV,KBBL,175387.0,OilX,2025-02-19
Africa,2015-10-01,CLOSTLV,KBBL,179284.0,OilX,2025-02-19
Africa,2015-11-01,CLOSTLV,KBBL,180249.0,OilX,2025-02-19
Africa,2015-12-01,CLOSTLV,KBBL,181640.0,OilX,2025-02-19
Africa,2016-01-01,CLOSTLV,KBBL,172514.0,OilX,2025-02-19
Africa,2016-02-01,CLOSTLV,KBBL,173426.0,OilX,2025-02-19
Africa,2016-03-01,CLOSTLV,KBBL,172468.0,OilX,2025-02-19
Africa,2016-04-01,CLOSTLV,KBBL,170367.0,OilX,2025-02-19
Africa,2016-05-01,CLOSTLV,KBBL,167988.0,OilX,2025-02-19
Africa,2016-06-01,CLOSTLV,KBBL,170491.0,OilX,2025-02-19
Africa,2016-07-01,CLOSTLV,KBBL,177113.0,OilX,2025-02-19
Africa,2016-08-01,CLOSTLV,KBBL,167457.0,OilX,2025-02-19
Africa,2016-09-01,CLOSTLV,KBBL,172150.0,OilX,2025-02-19
Africa,2016-10-01,CLOSTLV,KBBL,171477.0,OilX,2025-02-19
Africa,2016-11-01,CLOSTLV,KBBL,164886.0,OilX,2025-02-19
Africa,2016-12-01,CLOSTLV,KBBL,166278.0,OilX,2025-02-19
Africa,2017-01-01,CLOSTLV,KBBL,193100.0,OilX,2025-02-19
Africa,2017-02-01,CLOSTLV,KBBL,176748.0,OilX,2025-02-19
Africa,2017-03-01,CLOSTLV,KBBL,178740.0,OilX,2025-02-19
Africa,2017-04-01,CLOSTLV,KBBL,182162.0,OilX,2025-02-19
Africa,2017-05-01,CLOSTLV,KBBL,170959.0,OilX,2025-02-19
Africa,2017-06-01,CLOSTLV,KBBL,175158.0,OilX,2025-02-19
Africa,2017-07-01,CLOSTLV,KBBL,166205.0,OilX,2025-02-19
Africa,2017-08-01,CLOSTLV,KBBL,168859.0,OilX,2025-02-19
Africa,2017-09-01,CLOSTLV,KBBL,157962.0,OilX,2025-02-19
Africa,2017-10-01,CLOSTLV,KBBL,163672.0,OilX,2025-02-19
Africa,2017-11-01,CLOSTLV,KBBL,145625.0,OilX,2025-02-19
Africa,2017-12-01,CLOSTLV,KBBL,144417.0,OilX,2025-02-19
Africa,2018-01-01,CLOSTLV,KBBL,155656.0,OilX,2025-02-19
Africa,2018-02-01,CLOSTLV,KBBL,147113.0,OilX,2025-02-19
Africa,2018-03-01,CLOSTLV,KBBL,154474.0,OilX,2025-02-19
Africa,2018-04-01,CLOSTLV,KBBL,154959.0,OilX,2025-02-19
Africa,2018-05-01,CLOSTLV,KBBL,162384.0,OilX,2025-02-19
Africa,2018-06-01,CLOSTLV,KBBL,167102.0,OilX,2025-02-19
